I,V1,V2
0.0,0.0,0.0
1e-06,1.784386084103562e-16,4.935251770042994e-16
2e-06,1.813277998873193e-16,5.020344310313094e-16
3e-06,1.8794138806916647e-16,5.20573182904404e-16
4e-06,1.9753817098115614e-16,5.491720766061406e-16
4.9999999999999996e-06,2.114892278750553e-16,5.880753788394483e-16
6e-06,2.3040007761942037e-16,6.419973247160415e-16
7e-06,2.5448104958747427e-16,7.124359026629426e-16
8e-06,2.861957590670149e-16,8.040407528007845e-16
9e-06,3.2755673685652536e-16,9.229188651387565e-16
9.999999999999999e-06,3.8064591136822913e-16,1.0760793986646784e-15
1.1e-05,4.50529308405204e-16,1.279414406925191e-15
1.2e-05,5.425505442254905e-16,1.5486771482394532e-15
1.3e-05,6.634411873619454e-16,1.908989558781631e-15
1.4e-05,8.286075080650238e-16,2.398381530881677e-15
1.4999999999999999e-05,1.0542885479500705e-15,3.07306513166963e-15
1.6e-05,1.3674105811485116e-15,4.0172890642268094e-15
1.7e-05,1.809334585449858e-15,5.36179843284086e-15
1.8e-05,2.4440451607231165e-15,7.313120536004373e-15
1.8999999999999998e-05,3.3735567991672478e-15,1.0203808738763209e-14
1.9999999999999998e-05,4.7624806405754045e-15,1.4574331656930635e-14
2.1e-05,6.886741597180964e-15,2.1354478519405748e-14
2.2e-05,1.021088729536477e-14,3.2127208895615945e-14
2.3e-05,1.5546731020666574e-14,4.9715617712536545e-14
2.4e-05,2.4347458804818506e-14,7.927761321383795e-14
2.4999999999999998e-05,3.9308196375057854e-14,1.305754965196645e-13
2.6e-05,6.556880859548244e-14,2.227335844342479e-13
2.7e-05,1.1331964106778976e-13,3.947280751485101e-13
2.8e-05,2.035915018408985e-13,7.295685079528137e-13
2.9e-05,3.817901392235873e-13,1.4129401348002038e-12
2.9999999999999997e-05,7.510592833856064e-13,2.8839724568819126e-12
3.1e-05,1.5596816666455576e-12,6.249688713648726e-12
3.2e-05,3.4467435226182844e-12,1.4516142868170804e-11
3.2999999999999996e-05,8.192233961807213e-12,3.659805022830251e-11
3.4e-05,2.124688529183339e-11,1.0191570219748611e-10
3.5e-05,6.13786126007159e-11,3.214455413519432e-10
3.6e-05,2.037116951768121e-10,1.1933916038148714e-09
3.7e-05,8.170555363120784e-10,5.562623692500684e-09
3.7999999999999995e-05,4.34789891856491e-09,3.68514789213716e-08
3.9e-05,3.800959651036519e-08,4.7225228939113896e-07
3.9999999999999996e-05,1.156791947376023e-06,0.00010388035310788232
4.1e-05,-1.7333097211761864e-06,0.06276538959444877
4.2e-05,8.070650929476148e-05,0.09267377963795172
4.2999999999999995e-05,-0.0003361587882343309,0.10896953796602021
4.4e-05,8.470522813302114e-05,0.12593127335785415
4.4999999999999996e-05,4.799521163638408e-06,0.14141927289044884
4.6e-05,0.0002496690406233259,0.15535490859224585
4.7e-05,-0.00030877174685415307,0.1715789295294464
4.8e-05,0.0007135259835634577,0.1763469249476497
4.9e-05,-0.0008943149138743159,0.19903826723764648
4.9999999999999996e-05,7.724541111945847e-05,0.20448724292018874
5.1e-05,0.0002714893401859744,0.21704201320935057
5.2e-05,0.0007318957047494687,0.22271312044437977
5.3e-05,0.0001430670919097723,0.23614847579859582
5.4e-05,-0.0007441769131734817,0.24908005029153316
5.4999999999999995e-05,0.0007442425629565089,0.25370135389462856
5.6e-05,9.171127734207902e-05,0.2663575639654046
5.6999999999999996e-05,0.001140947623798031,0.2714969982412267
5.8e-05,0.0003769141678307562,0.2838193507800545
5.9e-05,0.04792678894267882,0.2755824156326977
5.9999999999999995e-05,0.09769158752790448,0.27117730919337363
6.1e-05,0.14242224812477391,0.2748810082002384
6.2e-05,0.1598279949013766,0.27136537768503344
6.3e-05,0.19092268947645558,0.27204957191402
6.4e-05,0.21859920347489104,0.28244165835485363
6.5e-05,0.24194309324445157,0.28972825619409603
6.599999999999999e-05,0.26035477414337077,0.2957548553968951
6.7e-05,0.30462154318921714,0.31103944080364176
6.8e-05,0.3059573437326662,0.3091277297674199
6.9e-05,0.29896280370321193,0.2994976544515083
7e-05,0.298315624351676,0.29336151056844084
7.099999999999999e-05,0.2907371134208259,0.29773795061322333
7.2e-05,0.2982507319653303,0.294759120643643
7.3e-05,0.33688123369932554,0.3128003475126351
7.4e-05,0.3471266536898616,0.31587466723766694
7.5e-05,0.36306536680265994,0.32350976322193714
7.599999999999999e-05,0.3836328753879309,0.3303701014706639
7.7e-05,0.3899982403496444,0.33402032370260576
7.8e-05,0.4083670114712852,0.34349497447283944
7.9e-05,0.4153784347589228,0.34646914512344007
7.999999999999999e-05,0.43210550234258255,0.3541713673818181
8.099999999999999e-05,0.44376653131947374,0.3604289273497758
8.2e-05,0.4591212618950099,0.3620488309041268
8.3e-05,0.47036813461660953,0.36462922757737787
8.4e-05,0.47560578373798207,0.3761717762345342
8.499999999999999e-05,0.4898633281447362,0.3799923830144205
8.599999999999999e-05,0.5043371117881954,0.38670640206375184
8.7e-05,0.5101516234175266,0.3923016636371249
8.8e-05,0.5221074338792707,0.3994872371040417
8.9e-05,0.53533920464399,0.40476655889305446
8.999999999999999e-05,0.5448249167861191,0.40819567107179133
9.099999999999999e-05,0.5612014777779868,0.4103683478096161
9.2e-05,0.5685792520606845,0.41704575545809724
9.3e-05,0.5802072202302506,0.4240982991800797
9.4e-05,0.5915254252411389,0.42925591247706285
9.499999999999999e-05,0.6023136568716951,0.43540002972751607
9.6e-05,0.6097895558276234,0.44045186710872486
9.7e-05,0.6200559321799098,0.44950943802787613
9.8e-05,0.6314561714356873,0.4533653098658524
9.9e-05,0.642472159029317,0.4565634135810595
9.999999999999999e-05,0.6528143596813795,0.46209557738510393
0.000101,0.6606023016728334,0.4673267098887235
0.000102,0.6708498438786675,0.47317960441754375
0.000103,0.6857309596781989,0.4762614343263993
0.000104,0.6902565380011094,0.48594528258964276
0.00010499999999999999,0.6976690220166671,0.4904002658993042
0.000106,0.7101245344968282,0.49410516134708193
0.000107,0.7197396459907729,0.501311181988844
0.000108,0.7257749631079656,0.5101413293698673
0.00010899999999999999,0.7389592042813815,0.5108277208608756
0.00010999999999999999,0.7504950048776537,0.5174845118300424
0.000111,0.7571510031506488,0.5226112288263863
0.000112,0.7690110063978518,0.5267000319143377
0.000113,0.7773469156284694,0.5345334397762018
0.00011399999999999999,0.7871298718526497,0.5396698453482144
0.00011499999999999999,0.7983535917531412,0.5427711016310344
0.000116,0.8042033764220498,0.550923042891884
0.000117,0.8159495209469038,0.554631439585547
0.000118,0.826876998776513,0.561884644487769
0.00011899999999999999,0.8334563832786954,0.5666278590158144
0.00011999999999999999,0.8418533288260567,0.5749211486465003
0.000121,0.8516116286085088,0.5790650374208591
0.000122,0.8618043522408639,0.5827260789489556
0.00012299999999999998,0.8728564404794898,0.5884401767536453
0.000124,0.8799477889958992,0.5935351060611389
0.000125,0.8907605337289127,0.5981659865485414
0.000126,0.8976754608334245,0.6041734842623633
0.000127,0.9056677901040154,0.6104172777580086
0.000128,0.9149623827236338,0.6173469517550721
0.000129,0.9263336998859072,0.6210164437514731
0.00013,0.9334445877546531,0.6272099057933168
0.00013099999999999999,0.9460278232035016,0.630295744783541
0.00013199999999999998,0.9500158560127648,0.6395143199108595
0.000133,0.9610637304372386,0.6433424545619553
0.000134,0.969607448749878,0.6487247604852999
0.000135,0.978405964585136,0.6524412921991989
0.000136,0.9892698712981094,0.6588464604578028
0.000137,0.9957033390887009,0.6657909066258866
0.000138,1.0071963091209042,0.6703107539929216
0.000139,1.013752379455215,0.6746465301565713
0.00014,1.0233928780348454,0.6817328160351054
0.00014099999999999998,1.034149774793013,0.6835430702677346
0.00014199999999999998,1.0408558358438333,0.6911391811065587
0.000143,1.0516999335044752,0.6973988586092033
0.000144,1.0587689615471665,0.6996930840257563
0.000145,1.0697047794815646,0.7063081085896957
0.000146,1.0773004119165697,0.710784710248594
0.000147,1.0890875536373588,0.7150798003107116
0.000148,1.0971899275266959,0.7222156952667804
0.000149,1.1049284882335775,0.729407709149932
0.00015,1.112271511369554,0.7338930968518933
0.00015099999999999998,1.1245028030426685,0.7378855342865109
0.00015199999999999998,1.1310659606385625,0.7428670359349479
0.000153,1.1385655055356818,0.7494161088310737
0.000154,1.1482567920050433,0.7545161214554956
0.000155,1.1590913080768241,0.7579890070775477
0.000156,1.1661586872050944,0.7658729908659244
0.000157,1.1739210880835318,0.7702549531094892
0.000158,1.1833499077696943,0.7752718270269352
0.000159,1.191966020334742,0.7812209229987781
0.00015999999999999999,1.2025674124571744,0.7860408588927491
0.00016099999999999998,1.2092300160305458,0.7930529365250352
0.00016199999999999998,1.2173805111231886,0.7975871169305689
0.000163,1.2274703194296632,0.801758634009762
0.000164,1.236828218628065,0.8059068283472429
0.000165,1.2431822879269,0.8137535651935045
0.000166,1.253881216858756,0.8174068818285437
0.000167,1.2604764249622384,0.8220763458010224
0.000168,1.2703493769604377,0.8276394132611335
0.000169,1.2778659897337477,0.8342203037553064
0.00016999999999999999,1.2879885745683943,0.8377425459206839
0.00017099999999999998,1.297778130789201,0.842897490397829
0.00017199999999999998,1.3052531323934438,0.8490195703660431
0.000173,1.3148288326464266,0.8531876689000608
0.000174,1.3213163067254485,0.8593977063353826
0.000175,1.3310159833087716,0.8651638494932516
0.000176,1.3399570905139715,0.8716251517499021
0.000177,1.3490595719617193,0.874169138222157
0.000178,1.3573410312466232,0.8810327669406117
0.000179,1.3642076463033896,0.8863124131176909
0.00017999999999999998,1.374714898836135,0.8920473412984482
0.00018099999999999998,1.3820391319831615,0.8966137118470647
0.00018199999999999998,1.38911575504892,0.901560550723209
0.000183,1.3995461753898357,0.9065025935508247
0.000184,1.4085511959679329,0.9119745762506466
0.000185,1.4159306868212862,0.9185340137515198
0.000186,1.4261129499423362,0.9215772019963705
0.000187,1.4337303290468604,0.9277514871656283
0.000188,1.440942120061085,0.9336060523964023
0.00018899999999999999,1.4499374087318493,0.9385389171704034
0.00018999999999999998,1.45934168548083,0.9436328392989398
0.00019099999999999998,1.4684517008842937,0.9500416075631077
0.000192,1.4755464785901609,0.9550830173777671
0.000193,1.4828543132006127,0.9596838074216858
0.000194,1.492519904450893,0.9654785048660424
0.000195,1.5012173415509478,0.970452596851372
0.000196,1.5100292760590195,0.9753990904082944
